582,154032,17493,709.0211737155914
1164,156849,17732,759.6318874359131
1746,158877,17864,748.3732290267944
2328,160926,18042,714.9023506641388
2910,162317,18119,694.0761511325836
3492,166350,18389,724.0635962486267
4074,166775,18412,708.313884973526
4656,169913,18748,704.9676632881165
5238,171397,18857,707.0472557544708
5820,172253,18896,676.4841368198395
6402,173031,18927,746.4644939899445
6984,173979,19016,758.8847136497498
7566,175077,19077,692.8476734161377
8148,175379,19103,686.3651874065399
8730,175912,19139,759.9998979568481
9312,176400,19185,726.572717666626
9894,176615,19197,750.5441484451294
10476,177226,19225,735.6590535640717
11058,177580,19241,683.5890362262726
11640,177797,19245,709.8087291717529
