492,160701,18279,726.8960208892822
984,163605,18535,763.2173569202423
1476,165974,18762,791.2395927906036
1968,167415,18821,662.5622897148132
2460,168797,18926,728.0563335418701
2952,170845,19122,735.9853818416595
3444,171388,19145,596.2529184818268
3936,172557,19237,752.7772681713104
4428,173337,19292,717.2661025524139
4920,174057,19324,601.3089122772217
5412,174939,19409,692.2150864601135
5904,175991,19494,721.0318598747253
6396,176195,19505,676.4648687839508
6888,176635,19522,739.403076171875
7380,177000,19555,742.8905458450317
7872,177202,19562,713.4739887714386
8364,177984,19603,805.4998304843903
8856,178303,19622,778.3172149658203
9348,179382,19662,751.6101560592651
9840,179703,19687,637.4505376815796
